FECHA_ADMINISTRACION,GRUPO_ETARIO,GENERO,VACUNA,TIPO_EFECTOR,DOSIS_1,DOSIS_2,ID_CARGA
20FEB2021:00:00:00,31 a 40,M,Sputnik,Privado,51,0,
20FEB2021:00:00:00,31 a 40,M,Sputnik,Público,80,2,
20FEB2021:00:00:00,31 a 40,M,Sputnik,Público nacional,3,0,
20FEB2021:00:00:00,41 a 50,F,Sputnik,Privado,62,0,
20FEB2021:00:00:00,41 a 50,F,Sputnik,Público,127,2,
20FEB2021:00:00:00,41 a 50,F,Sputnik,Público nacional,2,0,
20FEB2021:00:00:00,41 a 50,M,Sputnik,Privado,43,0,
20FEB2021:00:00:00,41 a 50,M,Sputnik,Público,67,1,
20FEB2021:00:00:00,41 a 50,M,Sputnik,Público nacional,1,0,
20FEB2021:00:00:00,51 a 60,F,Sputnik,Privado,55,0,
20FEB2021:00:00:00,51 a 60,F,Sputnik,Público,95,0,
20FEB2021:00:00:00,51 a 60,M,Sputnik,Privado,21,0,
20FEB2021:00:00:00,51 a 60,M,Sputnik,Público,67,0,
20FEB2021:00:00:00,61 a 70,F,Sputnik,Privado,9,0,
15JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,48,0,
15JAN2021:00:00:00,51 a 60,M,Sputnik,Público,146,0,
15JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,12,0,
15JAN2021:00:00:00,61 a 70,F,Sputnik,Privado,2,0,
15JAN2021:00:00:00,61 a 70,F,Sputnik,Público,1,0,
16JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,41,0,
16JAN2021:00:00:00,30 o menos,F,Sputnik,Público,100,0,
16JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,13,0,
16JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,21,0,
16JAN2021:00:00:00,30 o menos,M,Sputnik,Público,68,0,
16JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,7,0,
16JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,96,0,
16JAN2021:00:00:00,31 a 40,F,Sputnik,Público,206,0,
16JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,27,0,
16JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,56,0,
16JAN2021:00:00:00,31 a 40,M,Sputnik,Público,103,0,
16JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,19,0,
16JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,35,0,
16JAN2021:00:00:00,41 a 50,F,Sputnik,Público,192,0,
16JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,18,0,
16JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,20,0,
16JAN2021:00:00:00,41 a 50,M,Sputnik,Público,95,0,
16JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,5,0,
16JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,22,0,
16JAN2021:00:00:00,51 a 60,F,Sputnik,Público,103,0,
16JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,8,0,
16JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,16,0,
16JAN2021:00:00:00,51 a 60,M,Sputnik,Público,61,0,
16JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,5,0,
17JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,49,0,
17JAN2021:00:00:00,30 o menos,F,Sputnik,Público,36,0,
17JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,8,0,
17JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,24,0,
17JAN2021:00:00:00,30 o menos,M,Sputnik,Público,25,0,
17JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,17,0,
17JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,97,0,
17JAN2021:00:00:00,31 a 40,F,Sputnik,Público,107,0,
17JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,11,0,
17JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,40,0,
17JAN2021:00:00:00,31 a 40,M,Sputnik,Público,60,0,
17JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,13,0,
17JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,40,0,
17JAN2021:00:00:00,41 a 50,F,Sputnik,Público,102,0,
17JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,13,0,
17JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,20,0,
17JAN2021:00:00:00,41 a 50,M,Sputnik,Público,41,0,
17JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,11,0,
17JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,16,0,
17JAN2021:00:00:00,51 a 60,F,Sputnik,Público,59,0,
17JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,9,0,
17JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,10,0,
17JAN2021:00:00:00,51 a 60,M,Sputnik,Público,23,0,
17JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,1,0,
18JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,6,0,
18JAN2021:00:00:00,30 o menos,F,Sputnik,Público,31,0,
18JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,17,0,
18JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,4,0,
18JAN2021:00:00:00,30 o menos,M,Sputnik,Público,15,0,
18JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,9,0,
18JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,25,0,
18JAN2021:00:00:00,31 a 40,F,Sputnik,Público,51,0,
18JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,28,0,
18JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,10,0,
18JAN2021:00:00:00,31 a 40,M,Sputnik,Público,35,0,
18JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,15,0,
18JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,17,0,
18JAN2021:00:00:00,41 a 50,F,Sputnik,Público,63,0,
18JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,26,0,
18JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,17,0,
18JAN2021:00:00:00,41 a 50,M,Sputnik,Público,29,0,
18JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,11,0,
18JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,12,0,
18JAN2021:00:00:00,51 a 60,F,Sputnik,Público,32,0,
18JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,11,0,
18JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,10,0,
18JAN2021:00:00:00,51 a 60,M,Sputnik,Público,24,0,
18JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,9,0,
19JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,13,0,
19JAN2021:00:00:00,30 o menos,F,Sputnik,Público,23,30,
19JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,1,0,
19JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,5,0,
19JAN2021:00:00:00,30 o menos,M,Sputnik,Público,13,16,
19JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,2,0,
19JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,37,0,
19JAN2021:00:00:00,31 a 40,F,Sputnik,Público,51,83,
19JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,13,0,
19JAN2021:00:00:00,31 a 40,M,Sputnik,Público,16,51,
19JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,2,0,
19JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,20,0,
19JAN2021:00:00:00,41 a 50,F,Sputnik,Público,33,90,
19JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,3,0,
19JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,9,0,
19JAN2021:00:00:00,41 a 50,M,Sputnik,Público,24,60,
19JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,2,0,
19JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,8,0,
19JAN2021:00:00:00,51 a 60,F,Sputnik,Público,23,55,
19JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,1,0,
19JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,9,0,
19JAN2021:00:00:00,51 a 60,M,Sputnik,Público,23,38,
19JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,1,0,
19JAN2021:00:00:00,61 a 70,F,Sputnik,Público,0,1,
19JAN2021:00:00:00,61 a 70,M,Sputnik,Público,0,2,
20JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,13,0,
20JAN2021:00:00:00,30 o menos,F,Sputnik,Público,4,71,
20JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,8,0,
20JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,3,0,
20JAN2021:00:00:00,30 o menos,M,Sputnik,Público,0,26,
20JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,2,0,
20JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,17,0,
20JAN2021:00:00:00,31 a 40,F,Sputnik,Público,2,125,
20JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,6,0,
20JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,8,0,
20JAN2021:00:00:00,31 a 40,M,Sputnik,Público,1,94,
20JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,6,0,
20JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,19,0,
20JAN2021:00:00:00,41 a 50,F,Sputnik,Público,2,127,
20JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,11,0,
20JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,5,0,
20JAN2021:00:00:00,41 a 50,M,Sputnik,Público,3,73,
20JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,8,0,
20JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,12,0,
20JAN2021:00:00:00,51 a 60,F,Sputnik,Público,0,75,
20JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,11,0,
20JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,5,0,
20JAN2021:00:00:00,51 a 60,M,Sputnik,Público,0,54,
29DEC2020:00:00:00,30 o menos,F,Sputnik,Público,76,0,
29DEC2020:00:00:00,30 o menos,M,Sputnik,Público,44,0,
29DEC2020:00:00:00,31 a 40,F,Sputnik,Público,144,0,
29DEC2020:00:00:00,31 a 40,M,Sputnik,Público,104,0,
29DEC2020:00:00:00,41 a 50,F,Sputnik,Público,154,0,
29DEC2020:00:00:00,41 a 50,M,Sputnik,Público,93,0,
29DEC2020:00:00:00,51 a 60,F,Sputnik,Público,99,0,
29DEC2020:00:00:00,51 a 60,M,Sputnik,Público,57,0,
29DEC2020:00:00:00,61 a 70,F,Sputnik,Público,2,0,
29DEC2020:00:00:00,61 a 70,M,Sputnik,Público,1,0,
30DEC2020:00:00:00,30 o menos,F,Sputnik,Público,113,0,
30DEC2020:00:00:00,30 o menos,M,Sputnik,Público,51,0,
30DEC2020:00:00:00,31 a 40,F,Sputnik,Público,173,0,
30DEC2020:00:00:00,31 a 40,M,Sputnik,Público,122,0,
30DEC2020:00:00:00,41 a 50,F,Sputnik,Público,175,0,
30DEC2020:00:00:00,41 a 50,M,Sputnik,Público,96,0,
30DEC2020:00:00:00,51 a 60,F,Sputnik,Público,102,0,
30DEC2020:00:00:00,51 a 60,M,Sputnik,Público,68,0,
30DEC2020:00:00:00,61 a 70,F,Sputnik,Público,1,0,
30DEC2020:00:00:00,61 a 70,M,Sputnik,Público,2,0,
31DEC2020:00:00:00,30 o menos,F,Sputnik,Público,3,0,
31DEC2020:00:00:00,30 o menos,M,Sputnik,Público,7,0,
31DEC2020:00:00:00,31 a 40,F,Sputnik,Público,17,0,
31DEC2020:00:00:00,31 a 40,M,Sputnik,Público,14,0,
31DEC2020:00:00:00,41 a 50,F,Sputnik,Público,21,0,
31DEC2020:00:00:00,41 a 50,M,Sputnik,Público,16,0,
31DEC2020:00:00:00,51 a 60,F,Sputnik,Público,9,0,
31DEC2020:00:00:00,51 a 60,M,Sputnik,Público,9,0,
31DEC2020:00:00:00,61 a 70,F,Sputnik,Público,1,0,
02JAN2021:00:00:00,30 o menos,F,Sputnik,Público,33,0,
02JAN2021:00:00:00,30 o menos,M,Sputnik,Público,14,0,
02JAN2021:00:00:00,31 a 40,F,Sputnik,Público,109,0,
02JAN2021:00:00:00,31 a 40,M,Sputnik,Público,58,0,
02JAN2021:00:00:00,41 a 50,F,Sputnik,Público,80,0,
02JAN2021:00:00:00,41 a 50,M,Sputnik,Público,50,0,
02JAN2021:00:00:00,51 a 60,F,Sputnik,Público,54,0,
02JAN2021:00:00:00,51 a 60,M,Sputnik,Público,30,0,
02JAN2021:00:00:00,61 a 70,F,Sputnik,Público,1,0,
02JAN2021:00:00:00,61 a 70,M,Sputnik,Público,1,0,
03JAN2021:00:00:00,30 o menos,F,Sputnik,Público,17,0,
03JAN2021:00:00:00,30 o menos,M,Sputnik,Público,9,0,
03JAN2021:00:00:00,31 a 40,F,Sputnik,Público,48,0,
03JAN2021:00:00:00,31 a 40,M,Sputnik,Público,25,0,
03JAN2021:00:00:00,41 a 50,F,Sputnik,Público,30,0,
03JAN2021:00:00:00,41 a 50,M,Sputnik,Público,12,0,
03JAN2021:00:00:00,51 a 60,F,Sputnik,Público,19,0,
03JAN2021:00:00:00,51 a 60,M,Sputnik,Público,9,0,
04JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,11,0,
04JAN2021:00:00:00,30 o menos,F,Sputnik,Público,86,0,
04JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,4,0,
04JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,6,0,
04JAN2021:00:00:00,30 o menos,M,Sputnik,Público,54,0,
04JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,1,0,
04JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,15,0,
04JAN2021:00:00:00,31 a 40,F,Sputnik,Público,179,0,
04JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,9,0,
04JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,9,0,
04JAN2021:00:00:00,31 a 40,M,Sputnik,Público,102,0,
04JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,5,0,
04JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,10,0,
04JAN2021:00:00:00,41 a 50,F,Sputnik,Público,162,0,
04JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,3,0,
04JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,4,0,
04JAN2021:00:00:00,41 a 50,M,Sputnik,Público,94,0,
04JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,5,0,
04JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,4,0,
04JAN2021:00:00:00,51 a 60,F,Sputnik,Público,99,0,
04JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,2,0,
04JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,2,0,
04JAN2021:00:00:00,51 a 60,M,Sputnik,Público,72,0,
04JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,1,0,
04JAN2021:00:00:00,61 a 70,M,Sputnik,Privado,1,0,
05JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,29,0,
05JAN2021:00:00:00,30 o menos,F,Sputnik,Público,92,0,
05JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,16,0,
05JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,15,0,
05JAN2021:00:00:00,30 o menos,M,Sputnik,Público,54,0,
05JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,4,0,
05JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,60,0,
05JAN2021:00:00:00,31 a 40,F,Sputnik,Público,183,0,
05JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,28,0,
05JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,49,0,
05JAN2021:00:00:00,31 a 40,M,Sputnik,Público,157,0,
05JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,10,0,
05JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,28,0,
05JAN2021:00:00:00,41 a 50,F,Sputnik,Público,193,0,
05JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,26,0,
05JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,15,0,
05JAN2021:00:00:00,41 a 50,M,Sputnik,Público,100,0,
05JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,11,0,
05JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,9,0,
05JAN2021:00:00:00,51 a 60,F,Sputnik,Público,131,0,
05JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,15,0,
05JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,8,0,
05JAN2021:00:00:00,51 a 60,M,Sputnik,Público,80,0,
05JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,9,0,
05JAN2021:00:00:00,61 a 70,F,Sputnik,Privado,1,0,
05JAN2021:00:00:00,61 a 70,F,Sputnik,Público,2,0,
05JAN2021:00:00:00,61 a 70,M,Sputnik,Público,1,0,
05JAN2021:00:00:00,71 a 80,F,Sputnik,Privado,1,0,
06JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,23,0,
06JAN2021:00:00:00,30 o menos,F,Sputnik,Público,131,0,
06JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,8,0,
06JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,12,0,
06JAN2021:00:00:00,30 o menos,M,Sputnik,Público,78,0,
